Name,Agent,Usage,Rounds Played,Rating,ACS,K:D,ADR,KAST,KPR,APR,First Kills Per Round,First Deaths Per Round,Kills,Deaths,Assists,First Kills,First Deaths
invy,cypher,(3) 23%,65,1.04,227.0,1.08,158.0,66%,0.83,0.12,0.05,0.11,54,50,8,3,7
invy,breach,(3) 23%,64,1.27,227.0,1.22,142.2,78%,0.86,0.52,0.13,0.05,55,45,33,8,3
invy,vyse,(3) 23%,59,1.50,261.0,1.81,176.9,75%,0.95,0.37,0.05,0.03,56,31,22,3,2
invy,kayo,(2) 15%,45,1.35,253.5,1.26,164.2,80%,0.87,0.53,0.16,0.07,39,31,24,7,3
invy,omen,(2) 15%,38,1.13,216.0,1.10,151.0,66%,0.84,0.21,0.05,0.08,32,29,8,2,3
Jinggg,raze,(7) 37%,130,1.38,268.1,1.54,173.7,76%,0.98,0.20,0.09,0.08,128,83,26,12,10
Jinggg,omen,(6) 32%,127,1.07,187.7,1.05,127.4,76%,0.66,0.43,0.07,0.07,84,80,55,9,9
Jinggg,phoenix,(2) 11%,51,1.17,224.0,1.27,142.6,78%,0.82,0.24,0.16,0.14,42,33,12,8,7
Jinggg,brimstone,(2) 11%,41,1.70,329.0,1.68,212.4,90%,1.15,0.61,0.17,0.02,47,28,25,7,1
Jinggg,tejo,(2) 11%,40,0.98,197.0,0.90,130.0,63%,0.70,0.33,0.05,0.05,28,31,13,2,2
HYUNMIN,jett,(11) 34%,222,1.17,243.3,1.30,157.1,70%,0.91,0.08,0.16,0.12,201,155,17,36,26
HYUNMIN,raze,(9) 28%,204,1.09,239.4,1.17,156.5,73%,0.86,0.11,0.19,0.11,175,149,23,39,23
HYUNMIN,yoru,(9) 28%,193,0.97,218.0,0.96,139.7,73%,0.77,0.23,0.18,0.14,149,155,44,34,27
HYUNMIN,neon,(3) 9%,76,1.01,227.0,1.07,142.6,78%,0.82,0.26,0.21,0.20,62,58,20,16,15
MaKo,omen,(16) 50%,348,1.08,192.5,1.08,126.1,77%,0.67,0.43,0.08,0.09,232,215,151,28,30
MaKo,brimstone,(7) 22%,169,1.10,217.0,1.03,145.2,76%,0.73,0.56,0.08,0.08,123,119,94,13,13
MaKo,viper,(7) 22%,145,1.00,195.6,1.03,126.2,68%,0.68,0.21,0.12,0.14,98,95,31,18,20
MaKo,astra,(2) 6%,33,1.19,191.0,1.22,135.3,79%,0.67,0.61,0.03,0.03,22,18,20,1,1
Foxy9,killjoy,(9) 53%,171,1.04,185.6,1.18,122.8,73%,0.70,0.11,0.12,0.11,119,101,19,20,18
Foxy9,cypher,(3) 18%,71,0.89,171.3,0.88,111.6,77%,0.59,0.35,0.07,0.06,42,48,25,5,4
Foxy9,vyse,(2) 12%,36,1.65,295.5,2.35,200.0,94%,1.11,0.28,0.11,0.03,40,17,10,4,1
Foxy9,gekko,(1) 6%,23,0.82,162.0,0.87,100.7,74%,0.57,0.13,0.04,0.04,13,15,3,1,1
Foxy9,viper,(1) 6%,23,1.23,233.0,1.27,161.3,78%,0.83,0.22,0.04,0.09,19,15,5,1,2
Foxy9,deadlock,(1) 6%,21,1.20,268.0,1.24,151.8,90%,1.00,0.24,0.29,0.00,21,17,5,6,0
Jemkin,yoru,(11) 69%,227,1.23,255.5,1.34,161.1,71%,0.91,0.15,0.25,0.17,206,154,34,56,39
Jemkin,iso,(2) 13%,50,1.03,245.5,1.10,152.6,70%,0.88,0.10,0.22,0.12,44,40,5,11,6
Jemkin,jett,(2) 13%,40,1.40,283.0,1.52,173.6,73%,1.03,0.03,0.28,0.13,41,27,1,11,5
Jemkin,brimstone,(1) 6%,24,0.91,171.0,0.82,126.4,75%,0.58,0.29,0.08,0.04,14,17,7,2,1
dos9,omen,(10) 63%,210,1.25,226.9,1.27,145.8,75%,0.84,0.44,0.10,0.07,177,139,92,20,14
dos9,brimstone,(3) 19%,64,1.29,240.3,1.27,152.7,80%,0.88,0.50,0.13,0.08,56,44,32,8,5
dos9,iso,(1) 6%,26,0.55,115.0,0.47,88.2,62%,0.35,0.31,0.04,0.15,9,19,8,1,4
dos9,astra,(1) 6%,23,0.99,112.0,0.64,77.0,78%,0.30,0.74,0.04,0.00,7,11,17,1,0
dos9,viper,(1) 6%,21,1.31,178.0,1.33,117.0,76%,0.57,0.52,0.00,0.05,12,9,11,0,1
Flashback,cypher,(8) 42%,172,1.03,187.3,1.06,133.3,74%,0.70,0.19,0.09,0.09,120,113,33,16,15
Flashback,vyse,(3) 16%,60,1.02,191.3,1.03,118.5,73%,0.68,0.30,0.10,0.05,41,40,18,6,3
Flashback,yoru,(3) 16%,52,1.20,215.7,1.65,134.4,81%,0.83,0.15,0.21,0.06,43,26,8,11,3
Flashback,viper,(2) 11%,45,1.01,199.0,0.97,134.1,73%,0.71,0.22,0.04,0.07,32,33,10,2,3
Flashback,neon,(2) 11%,45,1.20,259.0,1.31,173.2,78%,0.93,0.20,0.22,0.11,42,32,9,10,5
Flashback,killjoy,(1) 5%,23,0.78,166.0,0.75,106.9,65%,0.52,0.04,0.09,0.00,12,16,1,2,0
primmie,yoru,(7) 35%,133,1.20,243.9,1.31,152.1,74%,0.89,0.13,0.19,0.11,119,91,17,25,15
primmie,jett,(5) 25%,100,0.98,209.6,1.05,139.3,67%,0.77,0.12,0.18,0.20,77,73,12,18,20
primmie,waylay,(5) 25%,98,1.22,236.0,1.39,151.6,69%,0.88,0.09,0.08,0.09,86,62,9,8,9
primmie,iso,(2) 10%,40,0.88,230.0,0.94,158.4,83%,0.73,0.30,0.15,0.08,29,31,12,6,3
primmie,neon,(1) 5%,21,0.97,200.0,1.00,140.8,71%,0.76,0.14,0.14,0.19,16,16,3,3,4
Akame,breach,(8) 42%,152,1.24,227.4,1.24,132.5,82%,0.81,0.57,0.09,0.05,123,99,87,13,8
Akame,raze,(4) 21%,68,1.10,253.8,1.11,153.9,74%,0.88,0.18,0.21,0.21,60,54,12,14,14
Akame,jett,(2) 11%,38,0.85,193.5,0.90,117.9,55%,0.74,0.05,0.24,0.24,28,31,2,9,9
Akame,kayo,(2) 11%,36,0.87,169.5,0.77,118.5,78%,0.56,0.67,0.00,0.06,20,26,24,0,2
Akame,reyna,(1) 5%,23,1.14,292.0,1.33,182.6,78%,1.04,0.17,0.26,0.13,24,18,4,6,3
Akame,tejo,(1) 5%,16,0.93,200.0,0.92,130.2,75%,0.69,0.38,0.13,0.13,11,12,6,2,2
Akame,fade,(1) 5%,15,1.07,206.0,1.50,136.4,73%,0.80,0.47,0.07,0.13,12,8,7,1,2
Karon,omen,(14) 64%,290,1.08,212.4,1.12,135.8,76%,0.74,0.39,0.08,0.07,216,193,113,24,21
Karon,astra,(4) 18%,89,1.27,204.8,1.40,137.8,81%,0.74,0.55,0.06,0.03,66,47,49,5,3
Karon,brimstone,(3) 14%,59,1.29,223.3,1.25,152.6,78%,0.76,0.49,0.03,0.07,45,36,29,2,4
Karon,viper,(1) 5%,19,0.84,166.0,0.92,115.6,79%,0.58,0.21,0.11,0.05,11,12,4,2,1
t3xture,neon,(10) 45%,197,1.19,251.8,1.33,162.4,71%,0.91,0.21,0.14,0.13,180,135,42,27,26
t3xture,raze,(7) 32%,158,1.05,230.4,1.12,148.8,65%,0.82,0.14,0.14,0.23,130,116,22,22,36
t3xture,jett,(3) 14%,61,0.87,227.3,1.00,142.8,70%,0.80,0.11,0.26,0.20,49,49,7,16,12
t3xture,yoru,(2) 9%,41,1.22,268.5,1.34,159.0,76%,0.95,0.24,0.27,0.22,39,29,10,11,9
Munchkin,viper,(11) 50%,228,1.17,218.5,1.24,142.5,77%,0.75,0.33,0.13,0.09,171,138,75,30,20
Munchkin,kayo,(6) 27%,116,1.18,206.0,1.19,140.4,79%,0.72,0.59,0.12,0.09,83,70,69,14,10
Munchkin,breach,(2) 9%,36,0.99,164.0,0.91,107.3,83%,0.58,0.42,0.03,0.03,21,23,15,1,1
Munchkin,tejo,(1) 5%,32,0.97,197.0,1.00,132.1,75%,0.69,0.28,0.09,0.16,22,22,9,3,5
Munchkin,fade,(1) 5%,23,0.60,125.0,0.53,88.7,65%,0.43,0.39,0.04,0.09,10,19,9,1,2
Munchkin,sova,(1) 5%,22,0.66,108.0,0.47,83.2,68%,0.32,0.41,0.00,0.14,7,15,9,0,3
Ash,tejo,(14) 52%,287,1.05,186.0,1.07,124.3,73%,0.65,0.24,0.06,0.05,186,174,70,17,14
Ash,raze,(5) 19%,108,1.44,276.4,1.55,183.3,81%,0.96,0.21,0.17,0.08,104,67,23,18,9
Ash,yoru,(3) 11%,60,0.89,181.7,0.89,119.4,72%,0.67,0.25,0.10,0.13,40,45,15,6,8
Ash,fade,(3) 11%,59,1.12,168.0,1.34,111.6,80%,0.66,0.31,0.02,0.05,39,29,18,1,3
Ash,breach,(1) 4%,26,1.32,221.0,1.62,138.6,81%,0.81,0.50,0.08,0.00,21,13,13,2,0
Ash,sova,(1) 4%,19,1.14,165.0,1.50,115.8,68%,0.63,0.16,0.11,0.00,12,8,3,2,0
margaret,cypher,(6) 38%,120,0.91,179.2,0.90,120.5,59%,0.64,0.17,0.08,0.08,77,86,20,10,9
margaret,killjoy,(5) 31%,113,1.14,220.8,1.18,149.5,71%,0.81,0.14,0.11,0.09,91,77,16,12,10
margaret,viper,(5) 31%,100,1.17,222.6,1.40,137.5,75%,0.80,0.21,0.13,0.11,80,57,21,13,11
Kushy,tejo,(7) 44%,151,1.08,200.0,1.08,143.0,75%,0.70,0.24,0.03,0.06,105,97,36,4,9
Kushy,sova,(5) 31%,104,1.17,212.2,1.20,141.9,77%,0.74,0.25,0.10,0.06,77,64,26,10,6
Kushy,kayo,(3) 19%,63,1.03,205.3,0.98,126.9,73%,0.73,0.43,0.11,0.08,46,47,27,7,5
Kushy,vyse,(1) 6%,23,0.81,216.0,0.95,131.1,70%,0.78,0.17,0.04,0.00,18,19,4,1,0
Kr1stal,sova,(4) 40%,86,1.18,195.8,1.15,133.5,76%,0.72,0.22,0.03,0.07,62,54,19,3,6
Kr1stal,tejo,(4) 40%,72,0.98,176.8,0.88,123.7,65%,0.61,0.21,0.04,0.11,44,50,15,3,8
Kr1stal,fade,(2) 20%,41,1.01,197.5,0.97,119.9,71%,0.78,0.27,0.10,0.12,32,33,11,4,5
NcSlasher,breach,(7) 44%,152,1.04,205.0,0.99,130.0,80%,0.70,0.47,0.01,0.05,106,107,71,2,8
NcSlasher,tejo,(6) 38%,124,1.01,180.7,1.09,117.1,75%,0.67,0.23,0.08,0.09,83,76,28,10,11
NcSlasher,omen,(1) 6%,26,1.24,237.0,1.16,147.2,81%,0.85,0.58,0.04,0.04,22,19,15,1,1
NcSlasher,kayo,(1) 6%,21,1.31,251.0,1.20,163.1,76%,0.86,0.52,0.14,0.10,18,15,11,3,2
NcSlasher,deadlock,(1) 6%,21,0.94,151.0,0.73,98.8,67%,0.52,0.10,0.14,0.14,11,15,2,3,3
UdoTan,cypher,(6) 60%,113,0.92,189.8,0.86,127.1,65%,0.67,0.24,0.05,0.08,76,88,27,6,9
UdoTan,killjoy,(2) 20%,44,1.01,202.5,1.00,148.7,80%,0.68,0.18,0.16,0.20,30,30,8,7,9
UdoTan,iso,(2) 20%,42,1.39,304.5,1.42,205.5,74%,1.05,0.19,0.17,0.17,44,31,8,7,7
SugarZ3ro,omen,(9) 75%,188,0.97,173.4,0.95,108.2,72%,0.65,0.32,0.08,0.05,123,130,61,15,9
SugarZ3ro,astra,(1) 8%,24,1.11,181.0,1.31,121.3,75%,0.71,0.33,0.00,0.08,17,13,8,0,2
SugarZ3ro,viper,(1) 8%,23,1.23,221.0,1.33,151.3,74%,0.87,0.26,0.00,0.04,20,15,6,0,1
SugarZ3ro,brimstone,(1) 8%,20,1.37,218.0,1.50,147.1,75%,0.90,0.15,0.00,0.05,18,12,3,0,1
f0rsakeN,omen,(5) 26%,93,1.26,233.8,1.45,140.2,84%,0.87,0.52,0.14,0.09,81,56,48,13,8
f0rsakeN,neon,(4) 21%,78,1.16,234.3,1.10,149.1,74%,0.82,0.32,0.23,0.17,64,58,25,18,13
f0rsakeN,waylay,(3) 16%,66,1.02,238.7,1.08,157.7,64%,0.85,0.15,0.15,0.32,56,52,10,10,21
f0rsakeN,fade,(3) 16%,62,0.84,173.0,0.89,113.0,73%,0.63,0.39,0.15,0.21,39,44,24,9,13
f0rsakeN,vyse,(2) 11%,51,0.78,163.5,0.83,108.1,59%,0.59,0.24,0.04,0.16,30,36,12,2,8
f0rsakeN,yoru,(2) 11%,39,0.93,218.0,0.97,140.1,67%,0.77,0.18,0.23,0.18,30,31,7,9,7
xffero,viper,(6) 38%,127,1.14,213.8,1.32,138.9,76%,0.77,0.27,0.09,0.05,98,74,34,11,6
xffero,cypher,(4) 25%,86,0.86,156.8,0.91,111.5,72%,0.58,0.26,0.07,0.09,50,55,22,6,8
xffero,vyse,(3) 19%,65,0.86,183.3,0.90,123.6,77%,0.69,0.25,0.08,0.05,45,50,16,5,3
xffero,killjoy,(2) 13%,40,1.27,229.5,1.48,166.7,75%,0.85,0.10,0.13,0.10,34,23,4,5,4
xffero,astra,(1) 6%,23,1.37,234.0,1.40,160.3,78%,0.91,0.35,0.09,0.04,21,15,8,2,1
Francis,tejo,(8) 50%,169,1.15,216.0,1.19,139.3,73%,0.77,0.20,0.12,0.06,130,109,34,20,10
Francis,kayo,(2) 13%,41,0.69,161.5,0.60,116.8,73%,0.51,0.49,0.10,0.15,21,35,20,4,6
Francis,breach,(2) 13%,41,0.60,131.5,0.53,84.2,68%,0.44,0.39,0.07,0.15,18,34,16,3,6
Francis,fade,(2) 13%,40,1.20,225.5,1.24,146.5,65%,0.78,0.30,0.10,0.10,31,25,12,4,4
Francis,harbor,(1) 6%,22,0.71,150.0,0.63,107.9,59%,0.45,0.27,0.00,0.14,10,16,6,0,3
Francis,sova,(1) 6%,20,1.89,265.0,3.50,178.0,95%,1.05,0.20,0.10,0.00,21,6,4,2,0
crazyguy,tejo,(11) 38%,218,0.92,184.1,0.89,124.1,74%,0.61,0.31,0.07,0.06,133,150,68,16,13
crazyguy,breach,(7) 24%,151,1.03,194.0,1.05,129.5,74%,0.68,0.32,0.09,0.07,102,97,49,13,10
crazyguy,sova,(6) 21%,163,1.20,252.0,1.29,164.1,75%,0.88,0.21,0.16,0.09,144,112,35,26,15
crazyguy,omen,(2) 7%,50,1.36,250.0,1.47,162.8,74%,0.88,0.46,0.08,0.02,44,30,23,4,1
crazyguy,fade,(2) 7%,49,1.00,208.5,0.92,139.9,65%,0.67,0.35,0.16,0.18,33,36,17,8,9
crazyguy,gekko,(1) 3%,14,0.74,123.0,0.75,72.4,71%,0.43,0.36,0.14,0.21,6,8,5,2,3
Ivy,kayo,(5) 23%,90,1.16,187.6,1.29,126.5,83%,0.64,0.53,0.07,0.07,58,45,48,6,6
Ivy,vyse,(4) 18%,77,0.97,185.3,1.09,118.0,70%,0.65,0.32,0.08,0.09,50,46,25,6,7
Ivy,breach,(4) 18%,73,1.33,203.8,1.58,136.8,89%,0.78,0.53,0.04,0.07,57,36,39,3,5
Ivy,fade,(3) 14%,72,1.17,224.0,1.18,159.5,76%,0.83,0.29,0.07,0.08,60,51,21,5,6
Ivy,gekko,(2) 9%,48,0.81,182.0,0.86,118.9,73%,0.67,0.29,0.08,0.06,32,37,14,4,3
Ivy,viper,(2) 9%,36,1.25,270.5,1.48,171.8,81%,0.94,0.31,0.08,0.03,34,23,11,3,1
Ivy,cypher,(1) 5%,24,0.81,163.0,0.78,101.3,75%,0.58,0.13,0.04,0.08,14,18,3,1,2
Ivy,skye,(1) 5%,13,1.50,150.0,4.00,101.8,92%,0.62,0.69,0.00,0.00,8,2,9,0,0
PatMen,fade,(8) 44%,170,1.04,195.9,0.97,124.6,81%,0.64,0.45,0.04,0.06,108,111,76,7,10
PatMen,breach,(6) 33%,125,0.97,178.3,0.91,119.7,66%,0.63,0.42,0.06,0.06,79,87,53,7,7
PatMen,kayo,(4) 22%,86,1.24,247.0,1.24,162.1,78%,0.84,0.58,0.05,0.05,72,58,50,4,4
iZu,cypher,(13) 27%,258,1.09,194.5,1.22,124.5,75%,0.74,0.24,0.08,0.09,190,156,61,20,22
iZu,yoru,(11) 22%,249,1.16,225.4,1.23,139.2,71%,0.79,0.24,0.14,0.13,197,160,60,34,33
iZu,tejo,(8) 16%,176,0.98,173.1,1.06,112.6,73%,0.66,0.13,0.05,0.06,116,109,22,9,11
iZu,viper,(6) 12%,138,0.97,197.2,0.96,133.0,68%,0.67,0.29,0.08,0.10,93,97,40,11,14
iZu,sova,(5) 10%,101,0.91,178.8,0.81,126.1,74%,0.63,0.25,0.06,0.08,64,79,25,6,8
iZu,fade,(4) 8%,82,1.12,186.5,1.16,118.4,79%,0.70,0.23,0.06,0.04,57,49,19,5,3
iZu,gekko,(2) 4%,49,0.90,163.0,0.90,111.8,76%,0.57,0.24,0.04,0.04,28,31,12,2,2
BeYN,breach,(7) 23%,154,1.09,168.4,1.06,107.5,78%,0.58,0.44,0.06,0.06,90,85,68,10,9
BeYN,fade,(6) 20%,126,0.81,140.3,0.74,92.6,71%,0.48,0.35,0.03,0.04,60,81,44,4,5
BeYN,cypher,(4) 13%,98,1.22,201.0,1.25,134.2,71%,0.72,0.29,0.13,0.07,71,57,28,13,7
BeYN,sova,(4) 13%,83,1.30,210.5,1.39,138.9,78%,0.77,0.31,0.07,0.06,64,46,26,6,5
BeYN,tejo,(3) 10%,68,0.83,174.3,0.73,123.3,74%,0.56,0.26,0.10,0.07,38,52,18,7,5
BeYN,omen,(3) 10%,67,0.98,194.7,0.92,120.8,70%,0.66,0.43,0.10,0.06,44,48,29,7,4
BeYN,killjoy,(2) 7%,34,0.85,179.0,0.84,103.6,74%,0.62,0.09,0.03,0.09,21,25,3,1,3
BeYN,kayo,(1) 3%,26,0.77,133.0,0.58,87.0,77%,0.42,0.62,0.00,0.08,11,19,16,0,2
BerserX,killjoy,(7) 44%,150,0.95,185.9,1.02,122.1,75%,0.66,0.20,0.11,0.07,99,97,30,16,10
BerserX,cypher,(3) 19%,82,0.97,180.0,1.00,120.5,70%,0.65,0.17,0.05,0.09,53,53,14,4,7
BerserX,vyse,(3) 19%,59,1.14,203.0,1.22,131.8,76%,0.75,0.32,0.17,0.08,44,36,19,10,5
BerserX,viper,(3) 19%,53,1.08,228.7,1.05,150.3,70%,0.75,0.17,0.06,0.08,40,38,9,3,4
something,yoru,(6) 32%,116,0.99,184.5,1.06,115.5,74%,0.65,0.27,0.20,0.14,75,71,31,23,16
something,breach,(5) 26%,101,0.89,167.2,0.80,111.4,67%,0.58,0.36,0.06,0.08,59,74,36,6,8
something,jett,(4) 21%,90,1.24,242.0,1.35,148.9,74%,0.86,0.18,0.19,0.14,77,57,16,17,13
something,brimstone,(2) 11%,37,0.76,148.0,0.53,116.8,68%,0.46,0.59,0.03,0.08,17,32,22,1,3
something,sova,(1) 5%,23,1.44,242.0,1.67,151.5,74%,0.87,0.26,0.09,0.17,20,12,6,2,4
something,tejo,(1) 5%,22,0.76,179.0,0.74,131.1,64%,0.64,0.14,0.00,0.09,14,19,3,0,2
BuZz,raze,(24) 49%,531,1.07,244.9,1.10,157.8,72%,0.82,0.20,0.20,0.15,433,393,104,104,82
BuZz,yoru,(11) 22%,217,1.07,240.6,1.18,155.0,66%,0.86,0.19,0.14,0.16,187,159,42,31,34
BuZz,neon,(8) 16%,177,0.90,199.5,0.88,123.2,68%,0.67,0.29,0.15,0.19,118,134,52,26,33
BuZz,chamber,(3) 6%,68,0.93,195.3,1.06,125.9,60%,0.75,0.04,0.12,0.10,51,48,3,8,7
BuZz,jett,(3) 6%,60,0.87,218.0,0.86,144.6,72%,0.72,0.13,0.17,0.22,43,50,8,10,13
Persia,omen,(10) 63%,201,1.03,184.1,0.93,121.0,72%,0.61,0.38,0.09,0.06,123,132,76,19,12
Persia,astra,(4) 25%,90,0.96,156.0,0.98,100.2,73%,0.59,0.33,0.09,0.06,53,54,30,8,5
Persia,viper,(1) 6%,23,0.64,107.0,0.59,80.1,52%,0.43,0.22,0.04,0.04,10,17,5,1,1
Persia,brimstone,(1) 6%,19,1.08,209.0,0.93,130.9,84%,0.74,0.63,0.05,0.05,14,15,12,1,1
JessieVash,sova,(5) 38%,110,1.07,199.8,1.03,142.1,72%,0.68,0.29,0.05,0.05,75,73,32,5,5
JessieVash,tejo,(3) 23%,55,0.70,131.7,0.56,98.9,62%,0.42,0.18,0.05,0.09,23,41,10,3,5
JessieVash,cypher,(2) 15%,45,1.12,215.5,1.13,141.5,64%,0.80,0.16,0.11,0.07,36,32,7,5,3
JessieVash,fade,(2) 15%,38,1.09,183.5,1.04,125.3,74%,0.68,0.29,0.03,0.08,26,25,11,1,3
JessieVash,killjoy,(1) 8%,23,0.95,181.0,1.00,111.1,74%,0.70,0.09,0.00,0.13,16,16,2,0,3
Killua,breach,(9) 30%,188,1.09,195.9,1.07,126.6,72%,0.70,0.45,0.06,0.06,131,122,84,12,12
Killua,tejo,(6) 20%,120,0.96,168.5,0.97,121.5,73%,0.62,0.24,0.07,0.04,74,76,29,8,5
Killua,vyse,(5) 17%,108,0.97,186.6,0.96,132.1,69%,0.69,0.20,0.08,0.09,74,77,22,9,10
Killua,gekko,(4) 13%,67,1.42,278.0,1.82,173.5,82%,1.03,0.27,0.10,0.06,69,38,18,7,4
Killua,fade,(2) 7%,41,1.09,217.0,1.03,136.8,61%,0.78,0.34,0.05,0.07,32,31,14,2,3
Killua,yoru,(2) 7%,40,0.90,190.5,1.00,131.1,68%,0.70,0.08,0.20,0.10,28,28,3,8,4
Killua,iso,(1) 3%,20,1.33,298.0,1.62,194.3,75%,1.05,0.25,0.20,0.05,21,13,5,4,1
Killua,killjoy,(1) 3%,19,0.97,201.0,0.87,126.3,58%,0.68,0.05,0.16,0.16,13,15,1,3,3
Famouz,neon,(7) 44%,152,0.93,214.1,1.01,138.3,74%,0.76,0.22,0.21,0.22,116,115,34,32,33
Famouz,yoru,(5) 31%,106,0.89,211.8,0.94,139.0,66%,0.75,0.19,0.14,0.17,80,85,20,15,18
Famouz,jett,(2) 13%,44,1.13,253.5,1.40,166.1,68%,0.95,0.14,0.20,0.18,42,30,6,9,8
Famouz,phoenix,(2) 13%,42,1.29,294.0,1.39,176.1,76%,1.02,0.26,0.24,0.19,43,31,11,10,8
Monyet,omen,(8) 50%,160,0.95,165.1,0.89,106.2,78%,0.57,0.49,0.08,0.08,91,102,78,13,13
Monyet,yoru,(2) 13%,50,0.88,199.5,0.97,139.4,66%,0.70,0.16,0.10,0.16,35,36,8,5,8
Monyet,neon,(2) 13%,47,0.91,205.5,1.03,124.3,62%,0.79,0.13,0.21,0.21,37,36,6,10,10
Monyet,astra,(2) 13%,44,1.09,197.5,1.26,125.4,80%,0.77,0.30,0.14,0.02,34,27,13,6,1
Monyet,viper,(2) 13%,40,1.08,185.0,1.16,130.1,73%,0.73,0.43,0.05,0.03,29,25,17,2,1
free1ng,tejo,(24) 75%,515,1.03,202.9,1.09,133.5,73%,0.72,0.24,0.10,0.09,369,340,123,49,48
free1ng,yoru,(3) 9%,68,0.79,156.7,0.71,99.0,68%,0.53,0.21,0.09,0.13,36,51,14,6,9
free1ng,killjoy,(2) 6%,54,1.16,218.5,1.24,142.6,69%,0.76,0.09,0.20,0.17,41,33,5,11,9
free1ng,cypher,(2) 6%,42,0.76,152.0,0.82,99.4,60%,0.55,0.19,0.14,0.10,23,28,8,6,4
free1ng,vyse,(1) 3%,16,2.06,413.0,4.33,255.0,81%,1.63,0.13,0.19,0.00,26,6,2,3,0
CLZ,tejo,(8) 67%,172,0.86,168.1,0.73,117.6,67%,0.54,0.26,0.07,0.05,93,128,44,12,9
CLZ,sova,(4) 33%,83,1.19,198.0,1.29,144.0,70%,0.75,0.16,0.08,0.02,62,48,13,7,2
